country code,asciiname,feature class,population,elevation
CH,Uetendorf,P,5654,
CH,Uerkheim,P,1302,
CH,Uerikon,P,1794,
CH,Ueberstorf,P,2133,
CH,Udligenswil,P,2252,
CH,Twann,P,845,
CH,Turtmann,P,1025,
CH,Turgi,P,2982,
CH,Turbenthal,P,3109,
CH,Tuggen,P,2671,
CH,Tschiertschen,P,220,
CH,Trun,P,1243,
CH,Trullikon,P,572,
CH,Trubschachen,P,1530,
CH,Trub,P,1503,
CH,Troistorrents,P,3873,
CH,Trogen,P,1618,
CH,Trimstein,P,497,
CH,Trimmis,P,2831,648.0
CH,Trimbach,P,6220,
CH,Trient,P,137,
CH,Triengen,P,4193,
CH,Treyvaux,P,1349,
CH,Trey,P,207,
CH,Trelex,P,1092,
CH,Travers,P,1233,
CH,Trasadingen,P,558,
CH,Trans,P,51,
CH,Tramelan,P,4186,
CH,Trachselwald,P,1068,
CH,Toessriederen,P,205,
CH,Tossegg,P,16,
CH,Toss,P,8672,
CH,Torre,P,279,
CH,Torbel,P,511,
CH,Toffen,P,2277,
CH,Titterten,P,427,
CH,Tiefencastel,P,244,
CH,Thusis,P,2572,700.0
CH,Thundorf,P,1179,546.0
CH,Thun,P,42136,560.0
CH,Thierrens,P,599,
CH,Thierachern,P,2040,
CH,Therwil,P,9595,
CH,Thayngen,P,4120,437.0
CH,Thalwil,P,13296,
CH,Thalheim,P,322,
CH,Thalheim,P,805,
CH,Teuffenthal,P,183,
CH,Teufenthal,P,1665,
CH,Teufen,P,5683,
CH,Tesserete,P,1533,
CH,Termen,P,793,
CH,Tenna,P,91,
CH,Tegerfelden,P,1040,364.0
CH,Tecknau,P,856,
CH,Tavannes,P,3367,
CH,Tauffelen,P,2492,
CH,Tasch,P,831,
CH,Tartar,P,216,
CH,Tarasp,P,295,
CH,Tann,P,3034,
CH,Tanay,P,1124,
CH,Tamins,P,1160,
CH,Tagerwilen,P,3414,
CH,Tafers,P,2833,
CH,Sursee,P,8014,
CH,Surava,P,198,
CH,Sumiswald,P,5159,
CH,Sulz,P,1215,
CH,Sulgen,P,3367,
CH,Suhr,P,9374,
CH,Sufers,P,156,
CH,Suchy,P,342,
CH,Subingen,P,2852,
CH,Stierva,P,142,
CH,Strengelbach,P,4349,
CH,Stilli,P,440,
CH,Stettlen,P,2884,
CH,Stettfurt,P,1048,
CH,Steinhausen,P,8509,
CH,Steinerberg,P,898,
CH,Steinen,P,3041,
CH,Stein am Rhein,P,3224,
CH,Stein,P,2504,
CH,Stein,P,390,
CH,Steg,P,79,
CH,Steffisburg,P,15191,
CH,Steckborn,P,3229,
CH,Stechelberg,P,255,
CH,Staufen,P,2424,
CH,Stansstad,P,4471,
CH,Stans,P,7475,
CH,Stampa,P,588,
CH,Stallikon,P,456,
CH,Staldenried,P,589,
CH,Stalden,P,1232,
CH,Staffelbach,P,1059,
CH,Stafa,P,5737,
CH,Stadel,P,875,
CH,Stabio,P,3917,
CH,Spreitenbach,P,10562,
CH,Spluegen,P,400,
CH,Spiringen,P,973,
CH,Spiez,P,12594,
CH,Speicher,P,3985,924.0
CH,Soyhieres,P,436,
CH,Soubey,P,128,
CH,Sottens,P,209,
CH,Sornetan,P,116,
CH,Sorens,P,837,
CH,Sorengo,P,1629,
CH,Soral,P,678,
CH,Sool,P,301,
CH,Sonogno,P,88,
CH,Someo,P,286,
CH,Solothurn,P,14853,
CH,Soglio,P,173,
