Entity,Code,Date,people_vaccinated_per_hundred
Illinois,,1/22/21,3.79
Illinois,,1/23/21,4.09
Illinois,,1/24/21,4.39
Indiana,,1/12/21,1.7
Indiana,,1/13/21,1.87
Indiana,,1/14/21,3.03
Indiana,,1/15/21,3.31
Indiana,,1/19/21,4.22
Indiana,,1/20/21,4.42
Indiana,,1/21/21,4.76
Indiana,,1/22/21,5.05
Indiana,,1/23/21,5.46
Indiana,,1/24/21,5.46
Iowa,,1/12/21,2.92
Iowa,,1/13/21,3.23
Iowa,,1/14/21,3.2
Iowa,,1/15/21,3.42
Iowa,,1/19/21,4.12
Iowa,,1/20/21,4.23
Iowa,,1/21/21,4.42
Iowa,,1/22/21,4.62
Iowa,,1/23/21,4.79
Iowa,,1/24/21,5
Kansas,,1/12/21,1.85
Kansas,,1/13/21,2.01
Kansas,,1/14/21,2.66
Kansas,,1/15/21,2.86
Kansas,,1/19/21,3.5
Kansas,,1/20/21,3.63
Kansas,,1/21/21,3.84
Kansas,,1/22/21,4
Kansas,,1/23/21,4.22
Kansas,,1/24/21,4.37
Kentucky,,1/12/21,2.3
Kentucky,,1/13/21,2.5
Kentucky,,1/14/21,3.25
Kentucky,,1/15/21,3.64
Kentucky,,1/19/21,4.51
Kentucky,,1/20/21,4.67
Kentucky,,1/21/21,4.88
Kentucky,,1/22/21,5.14
Kentucky,,1/23/21,5.45
Kentucky,,1/24/21,6.01
Louisiana,,1/12/21,2.52
Louisiana,,1/13/21,2.73
Louisiana,,1/14/21,3.21
Louisiana,,1/15/21,3.6
Louisiana,,1/19/21,4.76
Louisiana,,1/20/21,4.92
Louisiana,,1/21/21,5.18
Louisiana,,1/22/21,5.52
Louisiana,,1/23/21,5.86
Louisiana,,1/24/21,6.26
Maine,,1/12/21,2.83
Maine,,1/13/21,2.91
Maine,,1/14/21,3.84
Maine,,1/15/21,3.84
Maine,,1/19/21,4.67
Maine,,1/20/21,4.78
Maine,,1/21/21,4.99
Maine,,1/22/21,5.22
Maine,,1/23/21,5.51
Maine,,1/24/21,5.9
Marshall Islands,MHL,1/12/21,1.07
Marshall Islands,MHL,1/13/21,1.08
Marshall Islands,MHL,1/14/21,1.07
Marshall Islands,MHL,1/15/21,1.08
Marshall Islands,MHL,1/19/21,2.14
Marshall Islands,MHL,1/20/21,2.54
Marshall Islands,MHL,1/21/21,3.35
Marshall Islands,MHL,1/22/21,4.12
Marshall Islands,MHL,1/23/21,4.86
Marshall Islands,MHL,1/24/21,5.25
Maryland,,1/12/21,2.26
Maryland,,1/13/21,2.68
Maryland,,1/14/21,2.73
Maryland,,1/15/21,2.96
Maryland,,1/19/21,3.73
Maryland,,1/20/21,3.86
Maryland,,1/21/21,4.03
Maryland,,1/22/21,4.24
Maryland,,1/23/21,4.51
Maryland,,1/24/21,4.97
Massachusetts,,1/12/21,2.68
Massachusetts,,1/13/21,2.8
Massachusetts,,1/14/21,2.97
Massachusetts,,1/15/21,3.22
Massachusetts,,1/19/21,4.03
Massachusetts,,1/20/21,4.18
Massachusetts,,1/21/21,4.45
Massachusetts,,1/22/21,4.62
Massachusetts,,1/23/21,4.85
Massachusetts,,1/24/21,5.17
Michigan,,1/12/21,2.08
Michigan,,1/13/21,2.6
Michigan,,1/14/21,2.87
Michigan,,1/15/21,3.13
Michigan,,1/19/21,4.18
Michigan,,1/20/21,4.35
Michigan,,1/21/21,4.64
Michigan,,1/22/21,4.99
Michigan,,1/23/21,5.37
Michigan,,1/24/21,5.74
Minnesota,,1/12/21,2.7
Minnesota,,1/13/21,2.74
Minnesota,,1/14/21,2.86
Minnesota,,1/15/21,3.02
Minnesota,,1/19/21,3.71
Minnesota,,1/20/21,3.72
Minnesota,,1/21/21,3.78
Minnesota,,1/22/21,3.97
Minnesota,,1/23/21,4.26
Minnesota,,1/24/21,4.49
Mississippi,,1/12/21,1.54
Mississippi,,1/13/21,1.73
Mississippi,,1/14/21,2.17
Mississippi,,1/15/21,2.55
Mississippi,,1/19/21,3.49
Mississippi,,1/20/21,3.78
Mississippi,,1/21/21,4.2
Mississippi,,1/22/21,4.6
Mississippi,,1/23/21,4.6
Mississippi,,1/24/21,5.43
Missouri,,1/12/21,1.76
Missouri,,1/13/21,1.76
Missouri,,1/14/21,2.37
Missouri,,1/15/21,2.5
Missouri,,1/19/21,3.09
Missouri,,1/20/21,3.16
Missouri,,1/21/21,3.34
Missouri,,1/22/21,3.55
Missouri,,1/23/21,3.62
Missouri,,1/24/21,3.96
Montana,,1/12/21,2.89
Montana,,1/13/21,2.98
Montana,,1/14/21,3.66
Montana,,1/15/21,3.85
Montana,,1/19/21,4.42
Montana,,1/20/21,4.5
Montana,,1/21/21,4.72
Montana,,1/22/21,5.1
Montana,,1/23/21,5.55
Montana,,1/24/21,5.85
Nebraska,,1/12/21,3.41
Nebraska,,1/13/21,3.57
Nebraska,,1/14/21,3.73
Nebraska,,1/15/21,4.02
Nebraska,,1/19/21,4.6
Nebraska,,1/20/21,4.71
Nebraska,,1/21/21,4.9
Nebraska,,1/22/21,5.15
Nebraska,,1/23/21,5.36
Nebraska,,1/24/21,5.68
Nevada,,1/12/21,1.02
Nevada,,1/13/21,1.02
Nevada,,1/14/21,2.02
Nevada,,1/15/21,2.2
Nevada,,1/19/21,2.77
Nevada,,1/20/21,2.89
Nevada,,1/21/21,3.11
Nevada,,1/22/21,3.42
Nevada,,1/23/21,3.74
Nevada,,1/24/21,4.2
New Hampshire,,1/12/21,0.85
New Hampshire,,1/13/21,0.94
New Hampshire,,1/14/21,3.96
New Hampshire,,1/15/21,4.18
New Hampshire,,1/19/21,4.74
New Hampshire,,1/20/21,4.95
New Hampshire,,1/21/21,5.17
New Hampshire,,1/22/21,5.37
New Hampshire,,1/23/21,5.63
New Hampshire,,1/24/21,5.88
New Jersey,,1/12/21,2.33
New Jersey,,1/13/21,2.66
New Jersey,,1/14/21,2.65
New Jersey,,1/15/21,3.14
New Jersey,,1/19/21,3.99
New Jersey,,1/20/21,4.29
New Jersey,,1/21/21,4.29
New Jersey,,1/22/21,4.58
New Jersey,,1/23/21,4.93
New Jersey,,1/24/21,5.28
New Mexico,,1/12/21,2.07
New Mexico,,1/13/21,2.19
New Mexico,,1/14/21,3.5
New Mexico,,1/15/21,3.82
New Mexico,,1/19/21,5.36
New Mexico,,1/20/21,5.54
New Mexico,,1/21/21,5.86
New Mexico,,1/22/21,6.21
New Mexico,,1/23/21,7.1
New Mexico,,1/24/21,7.76
New York State,,1/12/21,2.79
New York State,,1/13/21,3.02
New York State,,1/14/21,3.18
New York State,,1/15/21,3.45
New York State,,1/19/21,4.55
New York State,,1/20/21,4.76
New York State,,1/21/21,5.05
New York State,,1/22/21,5.39
New York State,,1/23/21,5.68
New York State,,1/24/21,6.03
North Carolina,,1/12/21,1.8
North Carolina,,1/13/21,2.18
North Carolina,,1/14/21,2.22
North Carolina,,1/15/21,2.48
North Carolina,,1/19/21,3.3
North Carolina,,1/20/21,3.52
North Carolina,,1/21/21,3.87
North Carolina,,1/22/21,4.29
North Carolina,,1/23/21,4.74
North Carolina,,1/24/21,5.26
North Dakota,,1/12/21,4.42
North Dakota,,1/13/21,4.5
North Dakota,,1/14/21,4.63
North Dakota,,1/15/21,5.05
