city,latitude,longitude,country_code,population
Talcahuano,-36.72494,-73.11684,CL,252968
Talca,-35.4264,-71.65542,CL,197479
Talagante,-33.66386,-70.92734,CL,51764
Santiago,-33.45694,-70.64827,CL,4837295
San Felipe,-32.74976,-70.72584,CL,59294
San Bernardo,-33.59217,-70.6996,CL,249858
San Antonio,-33.59473,-71.60746,CL,85651
Rancagua,-34.17083,-70.74444,CL,212695
Quilpue,-33.04752,-71.44249,CL,130263
Quillota,-32.88341,-71.24882,CL,67779
Punta Arenas,-53.15483,-70.91129,CL,117430
Puerto Montt,-41.4693,-72.94237,CL,160054
Puente Alto,-33.61169,-70.57577,CL,510417
Penaflor,-33.60627,-70.87649,CL,65495
Ovalle,-30.60106,-71.19901,CL,77138
Osorno,-40.57395,-73.13348,CL,135773
Melipilla,-33.68909,-71.21528,CL,63100
Los Angeles,-37.46973,-72.35366,CL,125430
Los Andes,-32.83369,-70.59827,CL,56859
Linares,-35.84667,-71.59308,CL,69535
La Serena,-29.90453,-71.24894,CL,154521
Iquique,-20.21326,-70.15027,CL,227499
Curico,-34.98279,-71.23943,CL,102438
Coronel,-37.03386,-73.14019,CL,92940
Coquimbo,-29.95332,-71.33947,CL,161317
Copiapo,-27.36679,-70.3314,CL,129280
Concepcion,-36.82699,-73.04977,CL,215413
Chillan,-36.60664,-72.10344,CL,150396
Chiguayante,-36.9256,-73.02841,CL,82545
Calama,-22.45667,-68.92371,CL,143084
Buin,-33.73257,-70.74281,CL,55441
Arica,-18.4746,-70.29792,CL,185999
Antofagasta,-23.65236,-70.3954,CL,309832
La Pintana,-33.58331,-70.63419,CL,201178
Lo Prado,-33.4443,-70.72552,CL,104316
Atsugi,35.44272,139.36931,JP,229199
Akashi,34.65524,135.00687,JP,297279
Zushi,35.29483,139.57812,JP,60055
Zama,35.4879,139.39101,JP,134671
Yukuhashi,33.72873,130.983,JP,71277
Yuki,36.3,139.88333,JP,51574
Yoshikawa,35.89232,139.84184,JP,60510
Yono,35.88333,139.63333,JP,1077730
Yonago,35.43333,133.33333,JP,141368
Yokosuka,35.28361,139.66722,JP,428992
Yokohama,35.43333,139.65,JP,3574443
Yokkaichi,34.96667,136.61667,JP,295841
Yawata,34.87009,135.7027,JP,71656
Honmachi,32.50439,130.59952,JP,104341
Yashio,35.82255,139.83905,JP,81345
Yao,34.61667,135.6,JP,273213
Yamaguchi,34.18333,131.46667,JP,145515
Yaizu,34.86877,138.31952,JP,121057
Utsunomiya,36.56667,139.88333,JP,449865
Urayasu,35.67056,139.88861,JP,143758
Uji,34.89044,135.80325,JP,192925
Ueno-ebisumachi,34.75856,136.13108,JP,61598
Ueda,36.40265,138.28161,JP,126606
Ube,33.94306,131.25111,JP,173733
Tsuyama,35.05215,133.99885,JP,89717
Tsushima,35.16667,136.71667,JP,67658
Tsurusaki,33.24528,131.69165,JP,76968
Tsuruoka,38.72167,139.82167,JP,99820
Tsuruga,35.64547,136.0558,JP,68482
Tsu,34.73333,136.51667,JP,163461
Toyota,35.08333,137.15,JP,362383
Toyonaka,34.78244,135.46932,JP,384459
Toyokawa,34.81667,137.4,JP,120537
Toyohashi,34.76667,137.38333,JP,378374
Toyama,36.7,137.21667,JP,325532
Tottori,35.5,134.23333,JP,154098
Tosu,33.36667,130.51667,JP,63595
Tondabayashicho,34.50065,135.60211,JP,132873
Tomigusuku,26.18583,127.68192,JP,55715
Tokyo,35.6895,139.69171,JP,8336599
Tokuyama,34.05,131.81667,JP,101133
Tokushima,34.06667,134.56667,JP,267345
Tokorozawa,35.79916,139.46903,JP,339435
Toki,35.35,137.18333,JP,61394
Tochigi,36.38333,139.73333,JP,82133
Tenri,34.58333,135.83333,JP,71052
Tateyama,34.98333,139.86667,JP,50064
Tatebayashi,36.25,139.53333,JP,81274
Nishi-Tokyo-shi,35.72526,139.5383,JP,195164
Tanashicho,35.72922,139.53813,JP,82112
Tanabe,34.82242,135.76604,JP,65903
Tanabe,33.73333,135.36667,JP,69563
Tamano,34.51745,133.94574,JP,67786
Takefu,35.90393,136.16687,JP,75753
Takayama,36.13333,137.25,JP,66636
Takatsuki,34.84833,135.61678,JP,354468
Takasaki,36.33333,139.01667,JP,240857
Takarazuka,34.79936,135.35697,JP,219789
Takaoka,36.75,137.01667,JP,170077
Takamatsu,34.33333,134.05,JP,334223
Takaishi,34.51667,135.43333,JP,60511
Tajimi,35.31667,137.13333,JP,107818
Tagawa,33.63333,130.8,JP,51608
Suzuka,34.88333,136.58333,JP,191477
Suzaka,36.65,138.31667,JP,54022
Suwa,36.03799,138.11308,JP,54735
Suita,34.76143,135.51567,JP,351630
Soka,35.83643,139.79957,JP,231445
Soja,34.67534,133.75091,JP,57469
Shizuoka,34.98333,138.38333,JP,701561
Shiraoka,36.01839,139.66034,JP,50974
Shiojiri,36.1,137.96667,JP,67159
Shimonoseki,33.95,130.95,JP,245786
Shimodate,36.3,139.98333,JP,63666
Minato,34.2152,135.1501,JP,375339
Shimada,34.81667,138.18333,JP,75781
Shiki,35.83333,139.58333,JP,65411
Shibata,37.95,139.33333,JP,80793
Seto,35.23333,137.1,JP,134246
Satsumasendai,31.81667,130.3,JP,73132
Satte,36.07254,139.72615,JP,55286
Sasebo,33.16834,129.72502,JP,237444
Sano,36.31667,139.58333,JP,82535
Sanjo,37.61667,138.95,JP,82893
Sandacho,34.88444,135.22694,JP,132858
Sakurai,34.5,135.85,JP,62964
Saku,36.21667,138.48333,JP,68885
Sakata,38.91667,139.855,JP,100446
Sakaidecho,34.32278,133.8356,JP,57090
Sakai,34.58333,135.46667,JP,782339
Sakado,35.95694,139.38889,JP,96656
Saga,33.23333,130.3,JP,165236
Sabae,35.94647,136.18498,JP,66291
Oyama,36.3,139.8,JP,159936
Otsu,35,135.86667,JP,298164
Ota,36.3,139.36667,JP,152104
Osaka,34.69374,135.50218,JP,2592413
Onomichi,34.41667,133.2,JP,90936
Ono,34.85,134.93333,JP,50230
Omuta,33.03333,130.45,JP,131974
Omura,32.92139,129.95389,JP,89918
Ome,35.78389,139.24306,JP,149323
Okegawa,36,139.55722,JP,75062
Okazaki,34.95,137.16667,JP,352361
Okayama,34.65,133.93333,JP,639652
Okaya,36.05659,138.0451,JP,54286
Oita,33.23333,131.6,JP,448907
Oi,35.85091,139.51998,JP,50593
Ogaki,35.35,136.61667,JP,150570
Odawara,35.25556,139.15972,JP,203035
Obu,35.01756,136.94947,JP,77864
Numazu,35.1,138.86667,JP,204318
Nogata,33.74051,130.72263,JP,56821
Noda,35.94897,139.86793,JP,121411
Nobeoka,32.58333,131.66667,JP,121949
Nishio,34.86667,137.05,JP,103337
Nishinomiya-hama,34.71562,135.33199,JP,468925
Niitsu-honcho,37.80024,139.1224,JP,65910
Niihama,33.96047,133.30522,JP,123059
Niigata,37.88637,139.00589,JP,505272
Narutocho-mitsuishi,34.19933,134.60932,JP,64082
Nara-shi,34.68505,135.80485,JP,367353
Nakatsugawa,35.48333,137.5,JP,55011
Nakatsu,33.59811,131.1883,JP,67372
Naha,26.21667,127.68333,JP,300795
Nagoya,35.18147,136.90641,JP,2191279
Nago,26.61502,127.98543,JP,59587
Nagasaki,32.75,129.88333,JP,410204
Nagareyama,35.8563,139.90266,JP,156000
Nagaoka,37.45,138.85,JP,195318
Nagano,36.65,138.18333,JP,360176
Nagahama,35.38333,136.26667,JP,62089
Nabari,34.61667,136.08333,JP,88128
Musashino,35.70611,139.55944,JP,137479
Muko,34.96545,135.70415,JP,53222
Moriyama,35.06667,135.98333,JP,68584
Moriguchi,34.73333,135.56667,JP,148350
Miyazaki,31.91667,131.41667,JP,311203
Miyakonojo,31.73333,131.06667,JP,130994
Mishima,35.11667,138.91667,JP,113479
Mino,34.82691,135.47057,JP,129127
Minamirinkan,35.49527,139.44279,JP,224015
Miki,34.8,134.98333,JP,74701
Mihara,34.4,133.08333,JP,80387
Matsuto,36.51667,136.56667,JP,68159
Matsumoto,36.23333,137.96667,JP,210667
Matsue,35.48333,133.05,JP,156811
Matsudo,35.77995,139.90144,JP,470277
Matsubara,34.56667,135.55,JP,130855
Marugame,34.28333,133.78333,JP,82090
